RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
8	100000	7	3	48	2016/02/29:23:14:02	480	2.3350729	0.0
8	100000	6	4	48	2016/02/29:23:14:35	480	2.3448158	0.0
8	100000	5	5	48	2016/02/29:23:15:09	480	2.3516007	0.0
8	100000	4	6	48	2016/02/29:23:15:42	480	2.4022041	0.0
8	100000	3	7	48	2016/02/29:23:16:15	480	2.4456004	0.0
8	100000	2	8	48	2016/02/29:23:16:49	480	2.4744886	0.0
8	100000	1	9	48	2016/02/29:23:17:23	480	2.7401488000000005	0.0
8	1000000	10	0	48	2016/02/29:23:18:31	480	2.2771906000000004	0.0
8	1000000	9	1	48	2016/02/29:23:19:04	479	2.296788663829788	0.0
8	1000000	0	10	48	2016/02/29:23:24:07	480	2.7319098000000004	0.0
8	1000000	8	2	48	2016/02/29:23:19:38	480	2.2975804000000006	0.0
8	1000000	7	3	48	2016/02/29:23:20:12	480	2.326319999999999	0.0
8	1000000	6	4	48	2016/02/29:23:20:45	480	2.3492549	0.0
8	1000000	5	5	48	2016/02/29:23:21:19	480	2.3531042	0.0
8	1000000	4	6	48	2016/02/29:23:21:52	480	2.3409025999999993	0.0
8	1000000	3	7	48	2016/02/29:23:22:26	480	2.415030000000001	0.0
8	1000000	2	8	48	2016/02/29:23:22:59	480	2.5975322999999992	0.0
8	1000000	1	9	48	2016/02/29:23:23:33	480	2.8368213000000004	0.0
8	50	10	0	48	2016/02/29:22:47:43	480	0.23436758	0.0
8	50	9	1	48	2016/02/29:22:48:17	480	0.23996399000000007	0.0
8	50	0	10	48	2016/02/29:22:53:19	480	2.1827245	0.0
8	50	8	2	48	2016/02/29:22:48:50	480	0.244393	0.0
8	50	7	3	48	2016/02/29:22:49:24	480	0.24981299999999995	0.0
8	50	6	4	48	2016/02/29:22:49:58	480	0.2632395	0.0
8	50	5	5	48	2016/02/29:22:50:31	480	0.2778509900000001	0.0
8	50	4	6	48	2016/02/29:22:51:04	480	0.3024764700000001	0.0
8	50	3	7	48	2016/02/29:22:51:38	480	0.33818897	0.0
8	50	2	8	48	2016/02/29:22:52:12	480	0.40803442	0.0
8	50	1	9	48	2016/02/29:22:52:45	480	0.6070399999999999	0.0

